"","lat","long"
"1",31.2,121.4
"2",31,103.7
"3",29.7,106.6
"4",23.3,104.3
"5",28.7,115.9
"6",0,0
"7",23,113.7
"8",34.7,113.9
"10",26,119.3
"11",39.5,106.7
"13",34.9,117.7
"15",31.3,120.6
"17",24.7,118.4
"18",35.6,111.5
"20",42.9,129.5
"21",31.3,120.7
"22",33.9,116.5
"23",23.6,113.6
"24",43.8,87.6
"25",31.8,120.1
"26",38.9,121.6
"27",47.2,132
"28",34.8,117.3
"29",28.5,118
"31",34.1,108.6
"32",39.9,116.4
"33",23.1,113.4
"34",35,118.3
"36",34,113.8
"37",38.2,115.2
"38",30.5,114.4
"41",34.5,114.7
"42",22.9,112.2
"43",22.6,114
"44",28.2,113.4
"45",27.3,120.2
"46",22.7,114.3
"47",22.9,113.4
"48",23.1,113.9
"49",31.1,121.6
"50",26.8,114.9
"51",39,117.1
"52",27.2,105.6
"53",22.6,113.2
"54",23,113.1
"55",36,104.2
"56",36.6,114.4
"57",39.9,116.5
"59",39.8,116.3
"60",23.2,113.3
"61",25.3,110.4
"63",29.5,121.9
"65",23.1,113.3
"66",36.7,119.8
"68",35.1,110.9
"70",31.1,121.7
"71",33.7,118.4
"72",45.1,124.8
"73",25.1,102.7
"75",23.4,113.4
"76",30.5,114.3
"80",36.2,119.8
"83",30.3,120.3
"85",1,1
"86",22.5,114.1
"88",38.1,114.5
"89",41.1,123
"91",36.7,120.3
"92",30.8,104.1
"93",35.3,113.9
"95",24.9,118.6
"96",40,116.4
"97",37.6,121.4
"98",0.6,0.5
"100",31.7,117.2
"103",22.6,113.9
"106",22.9,108.3
"107",24.5,118.2
"110",40.6,109.8
"113",25,118.4
"115",31.4,120.5
"117",37.9,112
"118",23.2,108.2
"119",30.2,119.9
"120",22.6,113.1
"128",31.1,117
"131",36.6,119.2
"132",40,117.1
"141",29.7,107.5
"144",35.5,116.2
"146",28.3,113.7
"148",43.9,126.6
"150",27.5,120.4
"151",23,104.4
"154",31.7,104.7
"156",33,117.4
"159",32.1,118.8
"162",32,118.7
"165",39.9,116.3
"169",23,113.8
"170",25.5,103.8
"171",35.5,104.5
"173",28.1,113.6
"174",27.4,107.5
"175",28.9,106.9
"176",32.1,118.7
"179",25.1,105.4
"180",32,119.7
"181",30.9,118.9
"183",23,113.4
"184",28.2,115.5
"187",34.4,108.7
"191",33,115.3
"193",32.2,118.8
"194",33.9,115.8
"195",32.6,110.8
"196",22.8,101
"200",22.7,114.2
"201",22.7,113.8
"203",43.9,81.4
"205",30.5,120
"207",26.1,119.3
"209",36.2,120.4
"211",27.9,111.2
"212",27.8,114.9
"213",31.1,121.4
"214",32.5,114
"217",37.9,112.5
"221",31.1,120.9
"222",30.7,104
"223",28.2,114.7
"224",31.9,117.3
"225",35.6,110.5
"228",24.3,116.1
"229",34.1,108.9
"231",23.4,116.7
"232",30.6,114.3
"234",37.8,112.5
"235",36,120.2
"236",35.6,115.1
"237",31.3,118.4
"238",30.7,104.2
"239",35.3,113.8
"248",39.7,106.8
"249",33.5,118.7
"250",30,104
"251",28.5,121.4
"252",33.2,120.5
"256",34.6,110.9
"257",30.6,114.1
"260",31.2,121.5
"262",32.4,104.5
"263",26.1,119.4
"266",26.9,112.6
"267",39.8,116.4
"270",29.3,105.1
"272",30.9,121.5
"275",28.7,121.2
"277",23.1,114.5
"279",34.6,119.2
"280",34.6,112.7
"288",42.5,124.2
"293",31,103.6
"294",42.4,126.8
"297",36.3,120.3
"299",22.9,114.2
"300",34.8,113.8
"301",37.6,107.6
"303",32,121
"305",36.2,117.2
"308",30.2,120
"313",28.7,116
"315",30.6,103.7
"316",34.7,112.3
"320",36.2,113.8
"322",27.8,114.4
"326",23,113.6
"327",35.8,118.6
"328",45.7,126.7
"332",37.1,111.9
"333",28.6,115.9
"338",34.4,109.2
"340",36.1,111.6
"344",31.6,118.5
"345",39.1,117.3
"346",28.9,118.9
"351",32.6,120.4
"358",22.8,113.7
"360",22.9,114.1
"361",31.4,121
"362",26.6,106.7
"364",23.1,113.2
"368",30.6,114.2
"372",30.1,120.2
"374",31.3,121.5
"376",30.8,114.8
"377",48.2,126.5
"381",34.2,108.9
"382",30.9,118.3
"391",28.7,113.6
"392",24.8,113.6
"394",23.1,113.8
"395",29.2,104
"396",31.2,121.3
"397",30.8,104.2
"398",32.2,119.5
"400",37.4,118.8
"403",23.1,112.5
"409",22.7,113.9
"411",37.5,111.2
"414",34,116.8
"416",31.5,104.7
"417",23.2,108.8
"418",23,113.3
"419",24.7,108.1
"423",25.5,119.8
"424",31.3,121.4
"426",25,119
"429",24.8,118.6
"430",1,0.7
"431",40.9,122.8
"432",36.1,120.4
"437",39,117.3
"443",43.9,125.3
"444",22.2,113.4
"445",28.3,121.1
"446",36.4,111.7
"448",22.8,108.3
"450",23,113
"453",32.1,114.1
"454",38,114.7
"457",34.9,116.7
"458",38.2,114.5
"459",29.3,106.2
"460",29.5,106.6
"464",22.7,113.3
"466",35.1,118.3
"467",20.1,110.3
"469",23.2,113.2
"471",34.7,111.9
"474",23.9,106.6
"475",35.5,112.8
"481",31.3,121.6
"482",22.1,110.6
"485",35.1,112.6
"486",41.9,123.9
"487",33.4,120.2
"488",40,116.5
"490",31.8,117.3
"495",35.7,118.7
"496",34.2,108.4
"497",36.3,120
"498",31.6,120.3
"500",34.8,113.7
"501",34.8,113.9
"503",32,112.1
"506",6.3,81.3
"508",29.5,106.5
"512",40.4,116.7
"513",34.4,109
"514",28.2,115.8
"515",23.9,100.1
"518",39.5,116.7
"520",29.1,119.5
"524",32,118.8
"525",23.1,113.5
"527",25.2,110.3
"528",27.9,112.9
"531",34.3,109
"533",22.8,108.2
"534",29.6,103.8
"540",23.6,116.4
"541",31.9,118.8
"542",38.9,115.5
"544",32,120.9
"546",36.7,117.3
"548",39.6,118.1
"549",38,114.4
"552",23.6,116.7
"553",33.5,118.2
"555",23.2,113.1
"556",30.7,104.1
"559",27.3,103.7
"560",31.3,106.3
"561",30.2,120.3
"566",27.5,120.3
"571",23.1,114.4
"575",40,116.3
"576",29.8,106.4
"577",35.5,112.3
"578",30.6,104.1
"579",40.2,116.1
"581",36.7,117.1
"583",35.1,117.2
"584",23,114.7
"585",22.8,114.2
"587",47.5,122.9
"590",35.5,113.8
"591",30.3,120.1
"598",27.8,113.2
"601",39.8,118
"602",22.6,114.1
"604",44,125.2
"605",24.6,118
"606",27.9,102.3
"607",22.7,114.1
"612",39.8,108.7
"613",27.2,112.9
