"","lat","long"
"1",31.24,121.38
"2",30.97,103.65
"3",29.7,106.6
"4",23.28,104.27
"5",28.66,115.88
"6",0,0
"7",23,113.73
"8",34.7,113.94
"10",26.04,119.34
"11",39.51,106.71
"13",34.92,117.73
"15",31.31,120.62
"17",24.71,118.44
"18",35.64,111.46
"20",42.91,129.51
"21",31.31,120.66
"22",33.93,116.45
"23",23.55,113.58
"24",43.82,87.59
"25",31.75,120.07
"26",38.93,121.57
"27",47.25,132.03
"28",34.82,117.27
"29",28.47,117.96
"31",34.09,108.62
"32",39.9,116.42
"33",23.12,113.39
"34",35.05,118.33
"36",34.02,113.8
"37",38.18,115.18
"38",30.51,114.43
"41",34.52,114.7
"42",22.89,112.24
"43",22.64,114.05
"44",28.25,113.37
"45",27.31,120.21
"46",22.69,114.33
"47",22.94,113.36
"48",23.11,113.93
"49",31.09,121.58
"50",26.79,114.94
"51",39.04,117.11
"52",27.23,105.62
"53",22.59,113.21
"54",23.04,113.11
"55",35.95,104.15
"56",36.64,114.44
"57",39.89,116.46
"59",39.75,116.3
"60",23.23,113.3
"61",25.31,110.4
"63",29.47,121.88
"65",23.06,113.35
"66",36.68,119.76
"67",22.73,114.27
"68",35.12,110.92
"70",31.12,121.68
"71",33.68,118.37
"72",45.13,124.83
"73",25.13,102.74
"75",23.39,113.43
"76",30.52,114.3
"80",36.23,119.81
"83",30.29,120.35
"85",1,1
"86",22.53,114.06
"88",38.1,114.47
"89",41.14,123.01
"91",36.66,120.3
"92",30.82,104.06
"93",35.33,113.91
"95",24.85,118.6
"96",39.95,116.42
"97",37.58,121.36
"98",0.59,0.54
"100",31.72,117.16
"103",22.58,113.86
"106",22.87,108.33
"107",24.53,118.16
"110",40.64,109.8
"113",25,118.37
"115",31.37,120.52
"117",37.85,112.03
"118",23.21,108.18
"119",30.24,119.92
"120",22.57,113.07
"121",28.68,115.89
"123",40.05,116.43
"128",31.05,116.97
"129",31.31,120.56
"131",36.64,119.15
"132",39.99,117.08
"141",29.71,107.48
"144",35.48,116.17
"145",39.77,116.34
"146",28.27,113.7
"148",43.87,126.58
"150",27.5,120.39
"151",23.02,104.39
"154",31.73,104.73
"156",32.95,117.36
"159",32.11,118.8
"162",32.05,118.74
"165",39.92,116.27
"168",30.53,114.32
"169",23.04,113.76
"170",25.47,103.8
"171",35.52,104.51
"173",28.15,113.62
"174",27.35,107.51
"175",28.95,106.91
"176",32.13,118.72
"179",25.1,105.44
"180",32.03,119.73
"181",30.93,118.86
"183",23.01,113.39
"184",28.16,115.49
"187",34.35,108.69
"190",32.12,118.72
"191",33.05,115.26
"193",32.23,118.75
"194",33.89,115.77
"195",32.6,110.77
"196",22.81,100.97
"199",31.31,120.74
"200",22.68,114.22
"201",22.72,113.8
"203",43.92,81.38
"205",30.54,119.96
"207",26.07,119.33
"209",36.16,120.38
"211",27.85,111.21
"212",27.82,114.91
"213",31.06,121.39
"214",32.47,114.05
"215",39.91,116.39
"217",37.86,112.47
"220",39.84,116.3
"221",31.12,120.94
"222",30.66,103.97
"223",28.23,114.73
"224",31.86,117.28
"225",35.6,110.51
"228",24.26,116.11
"229",34.11,108.93
"231",23.4,116.71
"232",30.59,114.29
"233",30.67,104.03
"234",37.8,112.5
"235",35.97,120.24
"236",35.61,115.08
"237",31.33,118.41
"238",30.72,104.17
"239",35.3,113.84
"240",30.34,120.29
"245",31.09,121.43
"248",39.68,106.79
"249",33.5,118.66
"250",30,104
"251",28.48,121.43
"252",33.2,120.47
"255",32.08,118.82
"256",34.61,110.92
"257",30.62,114.14
"258",32.14,118.72
"260",31.23,121.46
"262",32.39,104.52
"263",26.09,119.37
"266",26.9,112.61
"267",39.84,116.36
"270",29.32,105.12
"272",30.93,121.46
"275",28.74,121.24
"277",23.11,114.47
"279",34.64,119.2
"280",34.64,112.71
"281",23.19,113.32
"288",42.54,124.16
"293",31,103.62
"294",42.38,126.79
"297",36.3,120.35
"299",22.85,114.17
"300",34.77,113.8
"301",37.61,107.59
"303",32.04,120.98
"305",36.23,117.18
"308",30.21,120.01
"311",32.05,118.72
"313",28.67,115.96
"315",30.62,103.68
"316",34.67,112.34
"317",31.88,117.35
"320",36.24,113.85
"322",27.79,114.36
"323",22.69,114.32
"326",23.03,113.6
"327",35.79,118.63
"328",45.73,126.69
"332",37.08,111.91
"333",28.6,115.94
"334",30.31,120.28
"338",34.37,109.22
"340",36.08,111.57
"341",30.51,114.39
"343",39.97,116.37
"344",31.56,118.49
"345",39.13,117.27
"346",28.94,118.89
"348",39.67,106.83
"351",32.62,120.38
"352",28.95,118.86
"355",31.15,121.38
"356",23.24,113.27
"358",22.83,113.66
"360",22.93,114.11
"361",31.36,120.96
"362",26.59,106.7
"364",23.13,113.22
"367",26,119.31
"368",30.6,114.21
"371",32.12,118.85
"372",30.07,120.2
"373",25.07,102.67
"374",31.26,121.49
"376",30.84,114.8
"377",48.25,126.51
"378",36.24,120.42
"381",34.17,108.92
"382",30.92,118.32
"383",38.06,114.48
"386",22.65,113.92
"387",23.11,113.27
"390",31.29,121.54
"391",28.71,113.58
"392",24.8,113.57
"393",22.55,113.92
"394",23.05,113.78
"395",29.21,103.95
"396",31.16,121.27
"397",30.83,104.17
"398",32.21,119.47
"400",37.41,118.84
"402",42.91,129.49
"403",23.05,112.46
"404",30.55,114.2
"409",22.71,113.9
"411",37.52,111.15
"413",23.18,113.32
"414",33.98,116.79
"416",31.54,104.7
"417",23.22,108.76
"418",22.98,113.31
"419",24.7,108.08
"423",25.51,119.79
"424",31.33,121.4
"426",24.99,118.98
"427",22.66,114.24
"429",24.84,118.56
"430",1,0.69
"431",40.85,122.76
"432",36.08,120.4
"437",39.05,117.29
"440",22.56,113.95
"441",22.99,113.29
"442",39.78,116.35
"443",43.92,125.33
"444",22.2,113.44
"445",28.29,121.07
"446",36.38,111.67
"448",22.84,108.31
"450",22.99,112.96
"453",32.1,114.1
"454",38.02,114.69
"456",23.06,113.39
"457",34.88,116.67
"458",38.16,114.55
"459",29.27,106.2
"460",29.49,106.57
"464",22.66,113.26
"466",35.11,118.34
"467",20.06,110.34
"468",31.16,121.51
"469",23.21,113.24
"470",33.21,120.46
"471",34.74,111.92
"474",23.9,106.62
"475",35.5,112.83
"478",39.97,116.43
"481",31.26,121.57
"482",22.07,110.63
"484",41.11,122.96
"485",35.08,112.59
"486",41.87,123.93
"487",33.37,120.17
"488",40.01,116.46
"489",30.57,114.26
"490",31.84,117.27
"495",35.69,118.72
"496",34.23,108.41
"497",36.33,119.97
"498",31.55,120.29
"500",34.79,113.67
"501",34.75,113.86
"503",32.02,112.14
"506",6.29,81.3
"508",29.54,106.47
